NOM,Adresse,Arrondissement,Type de zone,Type de lieu,LON,LAT
Cite des Associations,La canebiere,13001,Interieur,Batiment municipal,5.3820077279,43.2983469344
Bibliotheque Alcazar,58 cours Belsunce,13001,Interieur,Bibliotheque,5.3768197463,43.2989416661
Esplanade Bargemon,quai du port,13002,Exterieur,Place publique,5.3698577482,43.2968221637
Espace Museal Bargemon,quai du port,13002,Interieur,Batiment municipal,5.3702404656,43.2969907647
Office du tourisme,11 la canebiere,13001,Mixte,Batiment municipal,5.3762078317,43.296057193
La vieille charite,2 rue de la charite,13002,Mixte,Musee,5.3679892905,43.3002467509
Museum d'histoires naturelles,boulevard Longchamp,13004,Interieur,Musee,5.3945648148,43.3038920871
Musee des beaux arts,boulevard Longchamp,13004,Interieur,Musee,5.3940382749,43.3045101832
Bibliotheque des 5 avenues,impasse Fissiaux,13004,Interieur,Bibliotheque,5.3963906666,43.3019969415
Esplanade du Parc Longchamp,boulevard du jardin zoologique,13004,Exterieur,Parc et jardin,5.3964852386,43.3056930047
Mairie 11/12,avenue Boulaya d'Arnaud,13012,Interieur,Mairie de secteur,5.4433308828,43.2975528043
Parc Pastre,157 avenue de Montredon,13008,Exterieur,Parc et jardins,5.3668062337,43.239736885
Bibliotheque de Bonneveine,Centre Vie de Bonneveine,13008,Interieur,Bibliotheque,5.3887102199,43.2491639287
Musee d'Art Contemporain,69 avenue d'Haifa,13008,Interieur,Musee,5.3899713233,43.2506589524
Musee Borely,134 avenue Clot-Bey,13008,Interieur,Musee,5.3820612791,43.2572941072
Parc Borely,avenue du parc Borely,13008,Exterieur,Parc et jardins,5.379899276,43.2615893395
Mairie 9/10,150 bd Paul Claudel,13009,Mixte,Mairie de secteur,5.4161017503,43.2676310944
Bibliotheque de la Grognarde,2 square Berthier,13011,Interieur,Bibliotheque,5.4341331887,43.2942313627
Bibliotheque de saint Andre,6 bd Jean Salducci,13016,Interieur,Bibliotheque,5.3426436425,43.3574610745
Mairie 13/14,72 avenue Paul Coxe,13014,Interieur,Mairie de secteur,5.3799001619,43.3452774429
Mairie 15/16 - Parc F. Billoux,246 rue de Lyon,13015,Exterieur,Mairie de secteur,5.3664494314,43.3330790569
Bibliotheque du merlan,Centre commercial du merlan,13014,Interieur,Bibliotheque,5.3992266701,43.331018246
Archives Municipales,10 rue Clovis Hugues,13003,Interieur,Batiment municipal,5.3871743038,43.3090414502
Musee Cantini,19 rue grignan,13006,Interieur,Musee,5.3781905213,43.2922125481
Musee d'histoire de Marseille,17 square Belsunce,13001,Mixte,Musee,5.3745515849,43.2972106102
Palais du Pharo,58 Bd Charles Livron,13007,Exterieur,Parc et jardins,5.35868876,43.2942266668
Mairie 6/8,125 rue du commandant Rolland,13008,Interieur,Mairie de secteur,5.3828816384,43.2706122579
Conservatoire National a Rayonnement Regional,Place Carli,13001,Mixte,Batiment municipal,5.3836021949,43.2960544712
Base Nautique de Corbiere,250 plage de l'Estaque,13016,Exterieur,Plages,5.2934914462,43.3586309109
Notre Dame de la Garde,Montee de la bonne mere,13006,Exterieur,Place publique,5.3711275529,43.2842333191
Parc balneaire du Prado (Plage du Roucas Blanc),Promenade Georges Pompidou,13008,Exterieur,Plages,5.3692754586,43.2644121869
Parc balneaire du Prado (Prado Sud),Promenade Georges Pompidou,13008,Exterieur,Plages,5.3722368599,43.2622492376
Parc balneaire du Prado (Vieille Chapelle),Avenue Pierre Mendes France,13008,Exterieur,Plages,5.3731852323,43.2520283491
Bibliotheque du Panier,Place du Refuge,13002,,Bibliotheque,5.3674621662,43.2988575742
Batiment VDM,42 avenue Roger Salengro,13003,,,5.3732213094,43.3107783296
Mairie 2/3,2 place de la Major,13002,,Mairie de secteur,5.3649935063,43.2987138592
Rond Point du Prado,Rond Point du Prado,13008,Exterieur,,5.3907617742,43.2724403114
Stade Delort,72 rue Reymond Teisseire,13008,,Stade,5.3994494829,43.2692146811
Centre Municipal de Voile,2 promenade Georges Pompidou,13008,Interieur,,5.3701775004,43.2683957945
Centre Municipal de Voile Bassin,2 promenade Geogres Pomidou,13008,Exterieur,,5.3705105553,43.2654709493
Maison du Combattant,50 boulevard de la Corderie,13007,,,5.369899394,43.2906015469
Rond Point du David,,13008,Exterieur,,5.3744749529,43.2615791196
Parc Balneaire du Prado (Plage Borely),,13008,,,5.3754424876,43.2562692821
Parc Balneaire du Prado (Plage Bonneveine),,13008,,,5.3748396218,43.253065658
Le Dome,AVE DE SAINT JUST,13004,Mixte,,5.4044188423,43.3152823724
